ID,Fase,Área,Actividad,Descripción / Objetivo,Herramienta,Entregable,Responsable,Duración estimada,Dependencia,Riesgo / Notas
F1-09,1. Assessment,Entra ID,Contactos sincronizados,Inventario de contactos (orgContacts) provenientes de AD,Graph PowerShell,Contactos_Sync.csv,Admin M365,0.5 día,F0-03,
F1-10,1. Assessment,Dispositivos,Inventario de dispositivos por tipo de unión,"Identificar Hybrid Joined (TrustType=ServerAd), Entra Joined (AzureAd) y Registered (Workplace)",Graph PowerShell,Dispositivos.csv,Admin M365 / Endpoint,1 día,F0-03,Los equipos Hybrid Joined quedan huérfanos de dominio: requieren migración a Entra Join (F3-06)
F1-11,1. Assessment,Seguridad,Políticas de Acceso Condicional,Detectar políticas que exigen dispositivo Hybrid Joined (domainJoinedDevice) o dependen de grupos sincronizados,Graph PowerShell,CA_Policies.csv,Seguridad,0.5 día,F0-03,Las políticas con domainJoinedDevice bloquearán el acceso tras migrar equipos
F1-12,1. Assessment,Licenciamiento,Licenciamiento basado en grupos,Identificar grupos con licencias asignadas y SKUs consumidos,Graph PowerShell,Reporte de licencias,Admin M365,0.5 día,F0-03,
F1-13,1. Assessment,Entra ID,Política de contraseñas de usuarios sincronizados,Revisar PasswordPolicies (p. ej. DisablePasswordExpiration heredado de PHS),Graph PowerShell,Resumen de políticas de contraseña,Admin M365,0.5 día,F1-05,
F1-14,1. Assessment,Entra ID,Cuenta de servicio de sincronización,Identificar cuentas Sync_* / On-Premises Directory Synchronization Service Account,Graph PowerShell,Lista de cuentas de sync,Admin M365,0.5 día,F0-03,Se eliminan en F3-05
F1-15,1. Assessment,Entra ID,Actividad de inicio de sesión,Baseline de fallas de autenticación antes del cambio,Graph PowerShell,SignIn_Fallas_Baseline.csv,Seguridad,0.5 día,F0-03,Requiere Entra ID P1/P2
F1-16,1. Assessment,Exchange Online,Conexión a Exchange Online,Sesión administrativa EXO,EXO PowerShell,Sesión activa,Admin Exchange,N/A,F0-03,
F1-17,1. Assessment,Exchange Online,Inventario de buzones,"Buzones y su origen (IsDirSynced), tipo y direcciones",EXO PowerShell,Buzones.csv,Admin Exchange,0.5 día,F1-16,
F1-18,1. Assessment,Exchange Online,MailUsers (posibles buzones on-prem),Identificar usuarios de correo cuyo buzón residía en Exchange on-prem (riesgo de pérdida de datos),EXO PowerShell,MailUsers.csv,Admin Exchange,0.5 día,F1-16,"CRÍTICO: si ExternalEmailAddress apunta a dominio on-prem, esos buzones no existen en la nube; definir recuperación / licencia nueva"
F1-19,1. Assessment,Exchange Online,Grupos de distribución y seguridad habilitados para correo,Inventario y origen (sincronizado vs cloud),EXO PowerShell,DL.csv,Admin Exchange,0.5 día,F1-16,
F1-20,1. Assessment,Exchange Online,Contactos de correo,Inventario de MailContacts sincronizados,EXO PowerShell,MailContacts.csv,Admin Exchange,0.5 día,F1-16,
F1-21,1. Assessment,Exchange Online,Configuración híbrida,Detectar objetos de Exchange Hybrid remanentes,EXO PowerShell,Reporte de configuración híbrida,Admin Exchange,0.5 día,F1-16,
F1-22,1. Assessment,Exchange Online,Conectores de flujo de correo,Identificar conectores hacia/desde on-prem (Centralized Mail Transport),EXO PowerShell,Reporte de conectores,Admin Exchange,0.5 día,F1-16,RouteAllMessagesViaOnPremises=True provocará NDR si on-prem no existe
F1-23,1. Assessment,Exchange Online,Dominios aceptados y reglas de transporte,Validar tipo de dominio y reglas que referencien conectores on-prem,EXO PowerShell,Reporte de dominios y reglas,Admin Exchange,0.5 día,F1-16,Los dominios InternalRelay deben pasar a Authoritative
F1-24,1. Assessment,DNS,Registros DNS de correo,"Validar MX, Autodiscover, SPF, DKIM, DMARC",PowerShell / EXO,Reporte DNS,Admin Exchange / DNS,0.5 día,F1-16,Autodiscover apuntando a on-prem rompe Outlook
F1-25,1. Assessment,Gobierno,Informe de Assessment y análisis de riesgos,"Consolidar hallazgos, riesgos críticos (Federación, PTA, buzones on-prem, dispositivos Hybrid) y plan de remediación",Excel / Word,Informe de Assessment firmado,Arquitecto,2 días,F1-01..F1-24,Punto de decisión GO / NO-GO
F2-01,2. Remediación previa,Comunicación,Plan de comunicación a usuarios,"Informar cambios: SSPR, MFA, posible reset de contraseña, migración de equipos",Correo / Intranet,Comunicados y FAQ,PM / Comunicación,2 días,F1-25,
F2-02,2. Remediación previa,Accesos,Habilitar SSPR cloud y registro MFA,"Sin Password Writeback, SSPR debe operar solo en la nube; campaña de registro de métodos",Portal Entra / Graph PowerShell,Reporte de registro MFA/SSPR,Seguridad,3-5 días,F2-01,
F2-03,2. Remediación previa,Autenticación,Convertir dominios federados a Managed,"Si hay dominios Federated (AD FS irrecuperable), convertir a autenticación administrada",Graph PowerShell,Dominio en Managed,Admin M365,0.5 día,F1-03,Los usuarios sin hash de contraseña sincronizado requerirán reset (F3-04)
F2-04,2. Remediación previa,Seguridad,Ajustar Acceso Condicional,Reemplazar el control domainJoinedDevice por compliantDevice o excluir temporalmente; revisar grupos sincronizados en políticas,Portal Entra / Graph PowerShell,Políticas CA ajustadas,Seguridad,1 día,F1-11,Probar en modo Report-only antes de activar
F2-05,2. Remediación previa,Exchange Online,Dominios aceptados a Authoritative,Cambiar dominios InternalRelay a Authoritative al no existir on-prem,EXO PowerShell,Dominios Authoritative,Admin Exchange,0.5 día,F1-23,
F2-06,2. Remediación previa,Exchange Online,Recuperación de buzones on-prem (si aplica),"Para MailUsers sin buzón en la nube: definir estrategia (backup/PST, buzón nuevo)",EXO PowerShell,Plan de recuperación por usuario,Admin Exchange,Variable,F1-18,Depende de la existencia de respaldos de Exchange on-prem
F2-07,2. Remediación previa,Gobierno,Respaldo de configuración (baseline),Guardar todos los CSV del assessment en repositorio controlado,N/A,Carpeta de evidencias,Arquitecto,0.5 día,F1-25,
F3-01,3. Ejecución (Cutover),Entra ID,Deshabilitar sincronización de directorio,Convertir todos los objetos sincronizados a cloud (a nivel tenant),Graph PowerShell (Beta),Tenant con DirSync deshabilitado,Admin M365,Hasta 72 h (proceso asíncrono),"F2-03, F2-04, F2-07",Una vez iniciado no se puede reactivar durante ~72 h. Ejecutar en ventana aprobada
F3-02,3. Ejecución (Cutover),Entra ID,Monitorear conversión de objetos,Verificar que el conteo de objetos sincronizados llegue a 0,Graph PowerShell,Evidencia de conversión completa,Admin M365,Cada 6-12 h hasta 72 h,F3-01,
F3-03,3. Ejecución (Cutover),Entra ID,Validación de usuarios convertidos,"Comparar contra baseline: cuentas habilitadas, licencias, UPN",Graph PowerShell,Validacion_Post.csv,Admin M365,1 día,F3-02,
F3-04,3. Ejecución (Cutover),Accesos,Reset de contraseñas / política de expiración,Resetear contraseña a usuarios sin hash válido; aplicar política de expiración cloud,Graph PowerShell,Usuarios con contraseña operativa,Admin M365 / Mesa de ayuda,1-3 días,F3-02,"Con PHS activo previamente, los usuarios conservan su última contraseña sincronizada"
F3-05,3. Ejecución (Cutover),Entra ID,Eliminar cuentas de servicio de sincronización,Remover cuentas Sync_* identificadas en F1-14,Graph PowerShell,Cuentas eliminadas,Admin M365,0.5 día,F3-02,
F3-06,3. Ejecución (Cutover),Dispositivos,Migrar equipos Hybrid Joined a Entra Joined,Reinstalar / Autopilot o unir a Entra ID; inscribir en Intune; luego limpiar objetos obsoletos,Intune / Graph PowerShell,Equipos en Entra Join + Intune,Endpoint,Variable (por lotes),F2-04,Perfil de usuario local: considerar herramienta de migración de perfil
F3-07,3. Ejecución (Cutover),Entra ID,Limpieza opcional de ImmutableId,Remover OnPremisesImmutableId de usuarios ya cloud (opcional),Graph PowerShell,Usuarios sin ImmutableId,Admin M365,1 día,F3-02,Opcional; probar primero con usuario piloto
F3-08,3. Ejecución (Cutover),Exchange Online,Remover configuración híbrida,"Eliminar Organization Relationship, IOC, OnPremisesOrganization y endpoints de migración",EXO PowerShell,Sin objetos híbridos,Admin Exchange,0.5 día,F3-02,Validar primero que no haya lotes de migración activos (Get-MigrationBatch)
F3-09,3. Ejecución (Cutover),Exchange Online,Remover conectores hacia on-prem,Eliminar conectores Inbound/Outbound híbridos,EXO PowerShell,Conectores eliminados,Admin Exchange,0.5 día,F3-08,"Conservar conectores de terceros (antispam, relay de aplicaciones)"
F3-10,3. Ejecución (Cutover),DNS,Actualizar registros DNS,"MX a EOP, Autodiscover a Microsoft, SPF sin IPs on-prem; habilitar DKIM",DNS / EXO PowerShell,DNS actualizado,Admin DNS,0.5 día + propagación,F3-09,
F3-11,3. Ejecución (Cutover),Exchange Online,Validar administración de atributos en la nube,Confirmar IsDirSynced=False y que los atributos sean editables desde EXO,EXO PowerShell,Evidencia de gestión cloud,Admin Exchange,0.5 día,F3-02,
F3-12,3. Ejecución (Cutover),Exchange Online,Asignar propietarios a grupos de distribución,Los grupos convertidos pueden quedar sin ManagedBy válido,EXO PowerShell,Grupos con propietario,Admin Exchange,0.5 día,F3-02,
F4-01,4. Post-migración,Operación,Monitoreo de inicios de sesión (hipercuidado),Comparar fallas contra baseline durante 2 semanas,Graph PowerShell,Reporte de hipercuidado,Seguridad,2 semanas,F3-03,
F4-02,4. Post-migración,Operación,Nuevo proceso de alta/baja de usuarios,"Documentar ciclo de vida 100% cloud (usuario, licencias por grupo, buzón)",Graph PowerShell,Procedimiento de alta/baja,Admin M365,1 día,F3-03,
F4-03,4. Post-migración,Endpoint,Reemplazo de GPO por Intune,Reconstruir configuraciones de GPO críticas como perfiles de Intune / Settings Catalog,Intune,Perfiles Intune,Endpoint,Variable,F3-06,Sin AD las GPO no pueden exportarse; reconstruir desde documentación
F4-04,4. Post-migración,Infraestructura,Dependencias de AD en aplicaciones,"Identificar apps con LDAP/Kerberos; evaluar Entra Domain Services, SSO SAML/OIDC o App Proxy",Assessment,Plan de modernización de apps,Arquitecto,Variable,F1-25,
F4-05,4. Post-migración,Gobierno,Cierre y documentación,"Entregar documentación As-Built, evidencias y acta de cierre",Word / Excel,As-Built y acta de cierre,PM / Arquitecto,2 días,F4-01..F4-04,
